"review_url_link","review_url_name_name","review_url_name_rating","review_url_name_title","review_url_name_title_url","review_url_name_visit_time","review_url_name_comment","review_url_name_review_time","review_url_name_likes","review_url_name_contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","","","","","","","","",""
"https://www.tripadvisor.com/Attraction_Review-g60922-d255182-Reviews-Big_Cottonwood_Canyon-Salt_Lake_City_Utah.html","","","","","","","","",""
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","Tracey M","","Welcoming Wendover Will!!!","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r801522047-Wendover_Will-West_Wendover_Nevada.html","Jul 2021","What a welcoming sign to Wendover. Wendover Will is lit up with bright neon and waving hello to all who enter town. This is a historic marker and a blast from the past. It is nice to see a little bit of old school","Written August 3, 2021","0","437 contributions"
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","R M","","A Rich Historical Marker","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r781000803-Wendover_Will-West_Wendover_Nevada.html","Dec 2020 • Solo","Wendover Will has been a staple of Wendover and its communities ever since I can remember, even as a kid in the 80s. I am super stoked that West Wendover city has re-lighted the ol' bloke! The only drawback is there isnt any parking that I would consider ""safe"".
I was delighted to stop and read the plaques with the rich history behind Wendover Will and its creator-namesake. Kudos, West Wendover!","Written January 11, 2021","0","8 contributions"
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","Wanda H","","First of all, it's FREE...","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r774457551-Wendover_Will-West_Wendover_Nevada.html","Oct 2020","At the edge of the parking area were quite a few plaques on pedestals with LOTS of historical information on them! Also, extremely scenic area.","Written October 15, 2020","1","205 contributions"
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","Don and Lynn I","","Hello and goodbye, Will!","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r768620554-Wendover_Will-West_Wendover_Nevada.html","Aug 2020","Great welcome sign. There was a deer grazing at the base of the statue, too. Although we liked Will, the gaming there was pitiful. (Will should have a sign: Empty yer pockets, here, pardner!)","Written September 3, 2020","1",""
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","Susan L","","Big as life!","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r759698799-Wendover_Will-West_Wendover_Nevada.html","Jun 2020 • Couples","I remember him at the edge of town by a casino, drawing in tourists with his light up neon. Someone spent about $200,000 spent to restore and move him down the boulevard. Fun to see especially for nostalgic reasons or kids.","Written July 12, 2020","0","323 contributions"
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","Guy","","Wendover Will","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r750588737-Wendover_Will-West_Wendover_Nevada.html","Mar 2020 • Friends","Took a long walk to the west side of town and checked out Wendover Will. Took a few pictures. It's cool that they kept the big neon sign. Beautiful view from there.","Written March 12, 2020","0",""
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","Paulflagler","","He's standing in the middle of the road blocking traffic.","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r740894304-Wendover_Will-West_Wendover_Nevada.html","Jan 2020 • Solo","Not sure when he was built, or made but I understand it one time he used to wave at people coming into town.","Written January 23, 2020","0","60 contributions"
"https://www.tripadvisor.com/Attraction_Review-g46014-d7944216-Reviews-Wendover_Will-West_Wendover_Nevada.html","jdmrestor","","Wendover Icon !","https://www.tripadvisor.com/ShowUserReviews-g46014-d7944216-r713170761-Wendover_Will-West_Wendover_Nevada.html","Sep 2019","Wendover Will, or referred to as Bendover Bill by the gamblers is a must stop and see. Interesting, at the base of the sign are bricks inscribed with the names and dates of many of the racers that were on the Bonneville Salt Flats. Another place to see is the Enola Gay hangar at the airport. A lot of history in Wendover","Written September 26, 2019","0","21 contributions"
