"review_url_link","review_url_name_name","review_url_name_rating","review_url_name_title","review_url_name_title_url","review_url_name_visit_time","review_url_name_comment","review_url_name_review_time","review_url_name_likes","review_url_name_contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Terri D","","Take your time, if you can","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r759424443-Little_Cottonwood_Canyon-Utah.html","Aug 2019","Yes, this really is a fun drive. Hopefully no one will be pushing you...sometimes travelers to and from Snowbird are in a hurry. Take your time, pull off when you can. A wonderful place!","Written July 9, 2020","0","348 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","camaronz","","Very easy drive from the valley, great for an afternoon drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r718270594-Little_Cottonwood_Canyon-Utah.html","Oct 2019","This is a great drive if you wish to spend a couple of hours away from the city in the Fall. The colors are so nice and the road is easy, i guess it would be different once the snow comes but would still like to see it then too.","Written October 14, 2019","1","279 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Michael B","","Beautiful!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r716798053-Little_Cottonwood_Canyon-Utah.html","Oct 2019 • Family","The fall colors are stellar. River is beautiful. Lots to do at Snowbird resort. If passing through Salt Lake take an hour and drive up canyon.You'll be glad you did.","Written October 9, 2019","0",""
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Jeffrey O","","So Beautiful and fun drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r708672715-Little_Cottonwood_Canyon-Utah.html","Sep 2019 • Solo","Just out for a drive while here on business and traveled through Little Copper Canyon. Went all the way to Alta Ski Lodge, pulled over and walked around. Spoke to an officer for about 20 minutes and got the low down on happenings around the area.
The drive is so beautiful and worth going to see. I was told there are some easy hikes that you can do and really get a great view of the entire canyon. My picture was on my way back down the canyon, so beautiful!","Written September 10, 2019","1","177 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Sherry B","","Another Amazing Drive","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r685041515-Little_Cottonwood_Canyon-Utah.html","May 2019 • Couples","Had a wonderful day driving up and down this canyon. Enjoyed the amazing drive and seeing the snow. People were still skiing in the middle of May! This is a beautiful drive any time of the year, so take time to enjoy it.","Written June 28, 2019","1","1,091 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Chuck","","beautiful","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r678932777-Little_Cottonwood_Canyon-Utah.html","Mar 2019","One of the most beautiful places I've ever been. Went to ski but would love to go back during the other seasons.","Written June 4, 2019","0",""
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","Shanna S","","So Pretty","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r659717476-Little_Cottonwood_Canyon-Utah.html","Mar 2019","The drive through the canyon is beautiful. Whether you ski or not, at least visit the area and see it. It is spectacular!","Written March 19, 2019","0","235 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","differentname","","Summer and winter playground...","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r656456107-Little_Cottonwood_Canyon-Utah.html","Jan 2019 • Friends","It is also a playground for all those days in between. Most people don't know that there is fabulous hiking easily accessible from almost any starting point, with all degrees of difficulty.
Have fun!","Written March 5, 2019","0","2,597 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","JennScents","","Beautiful drive, incredible scenery with off-the-beaten path hiking trails","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r600001134-Little_Cottonwood_Canyon-Utah.html","Jul 2018 • Business","We stumbled upon this beautiful drive, that led us to some incredible scenery and photo ops, with off-the-beaten path hiking trails. We stopped off on the side of the road at a little parking area. We could hear water flowing so we hiked the trail until we found a gorgeous creek with flowing water. We sat there taking in the fresh air, beautiful weather and enjoyed a snack. Traffic was a little congested heading to Alta, so we turned around and headed back. Still worth the trip.","Written July 26, 2018","2","59 contributions"
"https://www.tripadvisor.com/Attraction_Review-g28965-d220092-Reviews-Little_Cottonwood_Canyon-Utah.html","dragonflytw65","","Beautiful!","https://www.tripadvisor.com/ShowUserReviews-g28965-d220092-r558652577-Little_Cottonwood_Canyon-Utah.html","Jan 2018 • Couples","We had spent quite a lot of time in Big Cottonwood Canyon and our drive to Snowbird was our first time in Little Cottonwood Canyon. It was very different and just as beautiful. The drive alone is a must do for nature lovers visiting Salt Lake City and even non skiers will appreciate the atmosphere, restaurants, shops and views from Snowbird in the winter.","Written February 5, 2018","0","2,926 contributions"
